;Cod_Interaguas;C¢digo Ponto;Status Ponto;Data Coleta;Hora Coleta;Turbidez (UNT);Zinco total mg/l;Ferro dissolvido mg/l;Tricloreteno  æg/L;trans-1,2-Dicloroeteno æg/L;Tolueno   æg/L;Tetracloroeteno æg/L;Tetracloreto de Carbono  æg/L;;terc-Butilbenzeno æg/L;Temperatura do ar Cø;Temperatura Da Agua Cø;Sulfato total mg/l;Subst. Tensoat. reagem c/ Azul mg/l Metileno;S¢lido Total;S¢lido Dissolvido Total mg/l;S¢dio mg/l;sec-Butilbenzeno æg/L;Salinidade;Pot ssio mg/l;p-Isopropiltolueno  æg/L;Pireno æg/L ;PH U.pH;o-Xileno æg/L;Oxigˆnio Dissolvido mg/l;n-Propilbenzeno æg/L;Nitrogˆnio-Nitrito mg/l;Nitrogˆnio-Nitrato mg/L;Nitrogˆnio Kjeldahl mg/l;Nitrogˆnio Amoniacal mg/L;N¡quel Total mg/L;n-Butilbenzeno æg/L;Naftaleno  æg/L;Merc£rio Total mg/L;Manganˆs Total mg/L;Magn‚sio Total mg/L;m,p-Xileno æg/L;Isopropilbenzeno æg/L;Indeno(1,2,3-cd)pireno  æg/L;Hexaclorobutadieno æg/L;F¢sforo-Ortofosfato mg/L;F¢sforo Total mg/l;Fluoreto Total mg/L;Fluoreno æg/L;Fluoranteno æg/L;Ferro Total mg/L;Feofitina-a æg/L;Fenantreno æg/L;Etilbenzeno æg/L;Estireno æg/L ;Escherichia coli** UFC/100mL;Dureza mg/L;Dibromometano æg/L;Dibromoclorometano æg/L;Dibenzo(a,h)antraceno æg/L;Cr“mio Total mg/L;Criseno æg/L;Condutividade æS/cm;Colora‡Æo;Cobre Total mg/L;Cobre Dissolvido mg/L;Clorof¢rmio æg/L;Clorofila-a æg/L;Clorobenzeno æg/L;Cloreto Total mg/L;Cloreto de vinila æg/L;Cloreto de Metileno æg/L;cis-1,2-Dicloroeteno æg/L;Chuvas nas £ltimas 24h;Chumbo Total mg/L;Carbono Orgƒnico Total mg/L;C lcio Total mg/L;C dmio Total mg/L;Benzo(k)fluoranteno æg/L;Bromof¢rmio æg/L ;Bromodiclorometano æg/L ;Bromoclorometano æg/L;Bromobenzeno æg/L;Benzo(g,h,i)perileno æg/L;Benzo(b)fluoranteno  æg/L;Benzo(a)pireno æg/L;Benzo(a)antraceno  æg/L;Benzeno æg/L;B rio Total mg/L;Antraceno æg/L;Alum¡nio Total mg/L;Alum¡nio Dissolvido mg/L;Acenaftileno  æg/L;Acenafteno æg/L;4-Clorotolueno æg/L;2-Metil-Naftaleno æg/L;2-Clorotolueno  æg/L;2,2-Dicloropropano æg/L;1-Metil-Naftaleno æg/L;1,4-Diclorobenzeno  æg/L;1,3-Dicloropropano  æg/L;1,3-Diclorobenzeno  æg/L;1,3,5-Trimetilbenzeno  æg/L;1,3,5 Triclorobenzeno æg/L;1,2-Dicloropropano  æg/L;1,2-Diclorobenzeno æg/L;1,2-Dibromoetano æg/L;1,2 Dicloroetano æg/L;1,2,3-Triclorobenzeno æg/L;1,2,3-Tricloropropano  æg/L;1,2,4-Triclorobenzeno æg/L;1,2,4-Trimetilbenzeno  æg/L;1,1-Dicloroeteno æg/L;1,1-Dicloroetano æg/L;1,1-Dicloro-1-Propeno æg/L;1,1,2,2 - Tetracloroetano æg/L;1,1,2 - Tricloroetano æg/L;1,1,1,2 - Tetracloroetano æg/L;1,1,1 - Tricloroetano æg/L;Sistema H¡drico;Tipo de Sistema H¡drico;CLASSE;Munic¡pio;UF;Inicio Opera‡Æo;Fim Opera‡Æo;Latitude;Longitude;Altitude;Localiza‡Æo;Capta‡Æo;IQA
;2617;IPAU02600;Ativo;17/03/2022;10:30;5,16;0,1;0,34;2,5;2,5;2;2,5;2;2,5;2,5;25;22;1;0,2;50;50;2,3;2,5;1;0,87;2,5;0,02;6,63;2,5;8,9;2,5;0,01;0,13;1;1;0,02;2,5;0,03;0,0002;0,1;0,5;5;2,5;0,08;5;0,1;0,02;0,1;0,02;0,02;0,36;1,28;0,02;2,5;5;148;3,3;10;2,5;0,015;0,05;0,015;21,9;Incolor;0,005;0,005;2,5;0,59;2,5;2,84;2;2,5;2,5;0;0,01;5,28;0,77;0,001;0,015;10;2,5;10;2,5;0,08;0,015;0,01;0,015;2,5;0,02;0,02;0,19;0,15;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,418
;2617;IPAU02600;Ativo;29/06/2022;11:58;2,9;0,1;0,2;2,5;2,5;2;2,5;2;2,5;2,5;26;17;1;0,08;68;58;2,76;2,5;1;0,89;2,5;0,02;6,39;2,5;9,3;2,5;0,01;0,12;1;1;0,02;2,5;0,03;0,0002;0,1;0,5;5;2,5;0,08;5;0,1;0,03;0,1;0,02;0,02;0,24;0,88;0,02;2,5;5;76;3,3;10;2,5;0,015;0,05;0,015;21,9;Incolor;0,005;0,005;2,5;0,56;2,5;2,61;2;2,5;2,5;0;0,01;2,6;0,78;0,001;0,015;10;2,5;10;2,5;0,08;0,015;0,01;0,015;2,5;0,02;0,02;0,1;0,1;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;6,591
;2617;IPAU02600;Ativo;15/09/2022;11:30;2,39;0,1;0,2;2,5;2,5;2;2,5;2;2,5;2,5;18;17;1;0,08;100;100;2,63;2,5;1;0,76;2,5;0,02;6,4;2,5;9,8;2,5;0,01;0,13;1;1;0,02;2,5;0,03;0,0002;0,1;0,5;5;2,5;0,05;5;0,1;0,04;0,1;0,02;0,02;0,3;0,78;0,02;2,5;5;232;3,3;10;2,5;0,015;0,05;0,015;26,5;Incolor;0,005;0,005;2,5;0,56;2,5;2,92;2;2,5;2,5;1;0,01;7,8;0,92;0,001;0,015;10;2,5;10;2,5;0,05;0,015;0,01;0,015;2,5;0,02;0,02;0,49;0,29;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;8,458
;2617;IPAU02600;Ativo;08/12/2022;10:15;5,11;0,1;0,24;2,5;2,5;2;2,5;2;2,5;2,5;27;21;1;0,08;100;38;2,36;2,5;1;0,88;2,5;0,02;6,57;2,5;8,7;2,5;0,01;0,18;1;1;0,02;2,5;0,03;0,0002;0,1;0,5;5;2,5;0,05;5;0,1;0,03;0,1;0,02;0,02;0,33;0,59;0,02;2,5;5;112;3,3;10;2,5;0,015;0,05;0,015;18,8;Verde;0,005;0,005;2,5;0,56;2,5;2,43;2;2,5;2,5;0;0,01;8,2;0,83;0,001;0,015;10;2,5;10;2,5;0,05;0,015;0,01;0,015;2,5;0,02;0,02;0,35;0,27;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,804
;2617;IPAU02600;Ativo;21/03/2023;12:10;3,38;0,1;0,2;;;;;;;;32;20;1,06;0,08;816;742;3,93;;1;0,83;;;6,95;;9,1;;0,01;0,1;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,41;1,5;;;;88;3,3;;;;0,05;;27,7;Incolor;0,005;0,005;;1,5;;6,06;;;;0;0,01;5,6;0,78;0,001;;;;;;;;;;;0,02;;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;8,391
;2617;IPAU02600;Ativo;27/06/2023;11:04;1,81;0,1;0,22;;;;;;;;26;17;1;0,08;50;50;2,48;;1;0,65;;;7,29;;9,8;;0,01;0,1;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,26;1,5;;;;22;3,3;;;;0,05;;22,1;Incolor;0,005;0,005;;1,5;;2,83;;;;0;0,01;2,9;0,8;0,001;;;;;;;;;;;0,02;;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;4,886
;2617;IPAU02600;Ativo;26/09/2023;11:09;2,28;0,1;0,2;;;;;;;;31;22;1,47;0,08;50;50;4,94;;1;0,77;;;7,36;;9;;0,01;0,15;1;1;0,02;;;0,0002;0,1;0,65;;;;;0,1;0,02;0,1;;;0,28;1,5;;;;96;4,95;;;;0,05;;24;Incolor;0,005;0,005;;1,5;;7,36;;;;0;0,01;3;0,91;0,001;;;;;;;;;;;0,02;;0,11;0,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;6,511
;2617;IPAU02600;Ativo;12/12/2023;11:45;4,41;0,1;0,2;;;;;;;;23;19;1,05;0,08;80;60;2,05;;1;0,56;;;6,25;;9,3;;0,01;0,13;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,28;1,5;;;;140;3,3;;;;0,05;;18;Incolor;0,005;0,005;;1,5;;2,1;;;;1;0,01;6;0,62;0,001;;;;;;;;;;;0,02;;0,37;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,442
;2617;IPAU02600;Ativo;19/03/2024;13:42;3,98;0,1;0,2;;;;;;;;34;25;1,67;0,08;172;164;2,41;;1;0,65;;;5,88;;8,3;;0,01;0,16;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,38;1,5;;;;156;3,3;;;;0,05;;33,2;Verde;0,005;0,005;;1,5;;5,8;;;;1;0,01;4,4;0,65;0,001;;;;;;;;;;;0,02;;0,13;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;8,064
;2617;IPAU02600;Ativo;22/05/2024;10:38;3,65;0,1;0,2;;;;;;;;27;19;1;0,08;316;298;2,79;;1;0,76;;;6,84;;9,4;;0,01;0,13;1;1;0,02;;;0,0001;0,1;0,5;;;;;0,1;0,02;0,1;;;0,44;1,5;;;;80;3,3;;;;0,05;;23;Verde;0,005;0,005;;1,5;;3,09;;;;0;0,01;3,6;0,77;0,001;;;;;;;;;;;0,02;;0,13;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,633
