Cod_Interaguas,Código Ponto,Status Ponto,Data Coleta,Hora Coleta,Oxigênio Dissolvido mg/L,pH U.pH,Temperatura da Água ºC,Nitrogênio-Nitrito mg/L,Nitrogênio-Nitrato mg/L,Nitrogênio Kjeldahl mg/L,Nitrogênio Amoniacal mg/L,Nitrogênio Total,Fósforo Total mg/L,Turbidez UNT,Sólido Dissolvido Total mg/L,Chuvas nas últimas 24h 0/1,"DBO (5, 20) mg/L",,Oxige. adaptado,ph adap,DBO adap
140,BILL02900,Ativo,15/03/2022,14:03,"6,14","6,1","26,2","0,01","0,1","0,5","0,1","0,71","0,02","6,7",100,1,"3,23000000",,"1,228","0,854",
140,BILL02900,Ativo,22/06/2022,14:15,"8,78","7,5","19,8","0,01","0,3","1,04","0,39","1,74","0,02","6,6",100,0,"3,00000000",,,,
140,BILL02900,Ativo,13/10/2022,10:55,"9,92","9,2","21,3","0,02","0,22","1,17","0,1","1,51","0,01","9,8",100,0,"4,98000000",,,,
140,BILL02900,Ativo,06/12/2022,12:49,"9,73","9,4","24,3","0,01","0,1","0,63","0,2","0,94","0,03",13,100,1,"3,00000000",,,,
140,BILL02900,Ativo,15/03/2023,12:50,"6,51","7,5","25,4","0,01","0,12","0,74","0,1","0,97","0,03","4,3",100,1,"3,00000000",,,,
140,BILL02900,Ativo,01/06/2023,10:55,"6,49","7,3","20,5","0,01","0,19","0,69","0,1","0,99","0,02","4,1",100,1,"4,01000000",,,,
140,BILL02900,Ativo,20/09/2023,12:49,"11,41","9,6","23,9","0,01","0,1","0,82","0,1","1,03","0,03","9,5",100,0,"3,71000000",,,,
140,BILL02900,Ativo,06/12/2023,14:00,"9,38","9,1","28,8","0,01","0,1","0,5","0,1","0,71","0,02","7,2",100,0,"8,15000000",,,,
140,BILL02900,Ativo,13/03/2024,13:20,"8,15","8,1","25,8","0,05","0,03","0,83","0,1","1,01","0,02",6,100,0,"3,00000000",,,,
140,BILL02900,Ativo,12/06/2024,11:50,"9,53","8,6","21,2","0,05","0,02","1,17","0,1","1,34","0,03","8,7",100,0,"3,19000000",,,,
140,BILL02900,Ativo,19/09/2024,12:09,"8,08","8,2",20,"0,05","0,1","1,1","0,1","1,35","0,03",30,100,0,"3,00000000",,,,
140,BILL02900,Ativo,04/12/2024,10:43,"7,29","8,4","23,6","0,05","0,06","0,94","0,1","1,15","0,01","8,2",100,1,"3,00000000",,,,
140,BILL02900,Ativo,19/03/2025,10:26,"4,22","7,3","25,7","0,05","0,03","0,92","0,1","1,1","0,02","3,9",100,1,"3,00000000",,,,
140,BILL02900,Ativo,11/06/2025,11:42,"7,16","7,2","19,6","0,02","0,32","1,44","0,2","1,98","0,03","5,9",100,1,"3,68000000",,,,
140,BILL02900,Ativo,07/10/2025,11:50,"9,18","9,2","20,9","0,01","0,99","0,98","0,2","2,18","0,01","8,6",100,0,"5,40000000",,,,
140,BILL02900,Ativo,03/12/2025,10:40,"9,83","9,2","24,5","0,02","0,5","0,5","0,1","1,12","0,03","7,8",110,0,,,,,
2493,BIRP00500,Ativo,15/03/2022,10:35,"7,39","7,4","25,8","0,01","0,1","4,41","0,1","4,62","0,01","5,9",100,1,,,,,
2493,BIRP00500,Ativo,22/06/2022,14:45,"8,9","7,3","18,5","0,01","0,1","0,64","0,18","0,93","0,02","4,2",100,0,,,,,
2493,BIRP00500,Ativo,13/10/2022,10:27,"9,47","8,8","22,1","0,01","0,1","0,67","0,1","0,88","0,02","8,5",100,0,,,,,
2493,BIRP00500,Ativo,06/12/2022,12:09,"8,62","8,6","24,1","0,01","0,1","0,62","0,1","0,83","0,01","5,3",100,1,,,,,
2493,BIRP00500,Ativo,15/03/2023,12:15,"7,49","7,5","25,4","0,01","0,1","0,5","0,1","0,71","0,02","4,2",100,1,,,,,
2493,BIRP00500,Ativo,01/06/2023,10:30,"6,49","7,2","20,5","0,01","0,1","0,64","0,1","0,85","0,02",5,100,1,,,,,
2493,BIRP00500,Ativo,20/09/2023,13:14,"8,93","8,8","24,6","0,01","0,1","0,55","0,1","0,76","0,02","4,8",100,0,,,,,
2493,BIRP00500,Ativo,06/12/2023,14:39,"8,17",8,"27,6","0,01","0,1","0,68","0,1","0,89","0,02","6,1",100,0,,,,,
2493,BIRP00500,Ativo,26/03/2024,10:32,"7,45","6,9","24,7","0,06","0,02","1,1","0,1","1,28","0,01","4,1",100,0,,,,,
2493,BIRP00500,Ativo,12/06/2024,11:10,"9,21","8,4","20,1","0,05","0,02","0,98","0,1","1,15","0,02","6,5",100,0,,,,,
2493,BIRP00500,Ativo,19/09/2024,11:40,"8,06","8,1","19,8","0,05","0,02","0,77","0,1","0,94","0,02",25,100,0,,,,,
2493,BIRP00500,Ativo,04/12/2024,09:53,"7,37","7,5","23,8","0,05","0,02","0,66","0,1","0,83","0,01","6,8",100,1,,,,,
2493,BIRP00500,Ativo,19/03/2025,10:50,"6,09","7,3","25,6","0,05","0,03","0,9","0,1","1,08","0,01","4,2",100,1,,,,,
2493,BIRP00500,Ativo,11/06/2025,12:17,"8,39","7,1",19,"0,02","0,05","0,81","0,1","0,98","0,02",6,100,1,,,,,
2493,BIRP00500,Ativo,25/09/2025,10:14,"7,48","7,2","19,4","0,01","0,5",1,"0,1","1,61","0,02","6,6",100,1,,,,,
2493,BIRP00500,Ativo,17/12/2025,11:09,"6,94","7,1",24,"0,01","0,5","2,05","0,2","2,76","0,06","8,5",100,1,,,,,
208,CFUG02900,Ativo,31/03/2022,10:09,"8,7","7,56",24,"0,01","0,11","1,52",1,"2,64","0,02","5,19",82,1,,,,,
208,CFUG02900,Ativo,09/06/2022,10:35,"10,1","7,32",17,"0,01","0,17","1,23",1,"2,41","0,02","4,1",80,1,,,,,
208,CFUG02900,Ativo,01/09/2022,10:32,"10,3","7,3",16,"0,01","0,28",1,1,"2,29","0,02","3,4",100,0,,,,,
208,CFUG02900,Ativo,01/12/2022,10:16,"9,2","7,59",21,"0,01","0,1",1,1,"2,11","0,02","2,97",100,1,,,,,
208,CFUG02900,Ativo,08/03/2023,10:48,"9,3","7,48",21,"0,01","0,1",1,1,"2,11","0,03","2,12",94,0,,,,,
208,CFUG02900,Ativo,13/06/2023,10:16,"9,5","7,62",19,"0,01","0,15","1,36",1,"2,52","0,03","2,43",78,1,,,,,
208,CFUG02900,Ativo,12/09/2023,11:02,"9,7","7,92",20,"0,01","0,13",1,1,"2,14","0,04","2,58",68,0,,,,,
208,CFUG02900,Ativo,05/12/2023,10:40,"8,7","7,69",24,"0,01","0,11",1,1,"2,12","0,02","2,88",50,1,,,,,
208,CFUG02900,Ativo,12/03/2024,13:31,"8,5","7,42",25,"0,01","0,14",1,1,"2,15","0,02","4,33",50,1,,,,,
208,CFUG02900,Ativo,08/05/2024,10:10,"9,3","7,78",23,"0,01","0,19",1,1,"2,2","0,03","3,45",82,0,,,,,
208,CFUG02900,Ativo,17/09/2024,10:10,"9,6","7,18",18,"0,01","0,23",1,1,"2,24","0,02","5,51",68,0,,,,,
208,CFUG02900,Ativo,10/12/2024,10:10,"8,9","7,56",22,"0,01","0,1",1,1,"2,11","0,02","3,33",50,1,,,,,
208,CFUG02900,Ativo,11/03/2025,13:23,"8,4","7,57",27,"0,01","0,15",1,1,"2,16","0,03","2,55",124,0,,,,,
208,CFUG02900,Ativo,03/06/2025,12:27,"9,6","7,5",20,"0,01","0,25","1,48",1,"2,74","0,02","2,76",92,0,,,,,
208,CFUG02900,Ativo,02/09/2025,10:43,"10,1","7,22",18,"0,01","0,24",,1,"1,25","0,02","4,56",72,0,,,,,
208,CFUG02900,Ativo,02/12/2025,10:25,"8,82","7,51",22,"0,01","0,11",,1,"1,12","0,02","3,43",74,0,,,,,
